StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,attention_check,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,affiliation,affiliation_4_TEXT,strong_red,strong_blue,affiliation_none,importance_aff,gender,gender_3_TEXT,age,AI timer 1_First Click,AI timer 1_Last Click,AI timer 1_Page Submit,AI timer 1_Click Count,AI Q 1,AI timer 2_First Click,AI timer 2_Last Click,AI timer 2_Page Submit,AI timer 2_Click Count,AI Q2,AI timer 3_First Click,AI timer 3_Last Click,AI timer 3_Page Submit,AI timer 3_Click Count,"AI Q 3 ",AI timer 4 _First Click,AI timer 4 _Last Click,AI timer 4 _Page Submit,AI timer 4 _Click Count,"AI Q 4 ",AI timer 5 _First Click,AI timer 5 _Last Click,AI timer 5 _Page Submit,AI timer 5 _Click Count,"AI Q 5 ",familiarity,rid,Politician,MatrixResponses
2026-01-30 10:28:15,2026-01-30 10:31:07,IP Address,91.101.242.92,100,171,True,2026-01-30 10:31:07,R_2awXZKBDaekjK7z,,,,,55.7115,12.4884,anonymous,EN-GB,0.699999988079071,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Rød blok,,Stærkt tilknyttet,,,Moderat vigtig,Kvinde,,34,5.191,5.191,6.109,1,,0.731,2.333,6.009,3,,2.268,2.268,4.978,1,Ved ikke,2.477,3.002,6.009,3,Ved ikke,1.218,2.085,5.337,3,Ved ikke,Meget bekendt,697c87b7-e163-b367-a478-867a50725573,Troels Lund Poulsen,"Delvist enig, Hverken enig eller uenig"
2026-01-30 10:23:25,2026-01-30 10:33:05,IP Address,37.96.120.253,100,579,True,2026-01-30 10:33:05,R_8ktdA40atdq2WUg,,,,,55.674,12.5696,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Meget enig,Hverken enig eller uenig,Meget enig,Hverken enig eller uenig,Meget enig,Meget enig,Meget enig,Delvist enig,Meget enig,Ingen af delene,,,,Ingen af delene,Slet ikke vigtig,Mand,,63,0,0,6.119,0,,0,0,6.017,0,,0,0,6.118,0,,0,0,6.125,0,,0,0,6.02,0,,Lidt bekendt,697c8696-3d51-586e-8cdd-8a39f5320be5,Mette Frederiksen,"Hverken enig eller uenig, Meget enig, Delvist enig"
2026-01-30 10:30:54,2026-01-30 10:33:48,IP Address,2.111.225.23,100,174,True,2026-01-30 10:33:49,R_8s4q13UGJICXh5U,,,,,55.7935,12.4693,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist enig,Meget enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Blå blok,,,Stærkt tilknyttet,,Meget vigtig,Kvinde,,53,4.032,4.032,6.02,1,,2.931,2.931,6.114,1,50,0,0,0.161,0,,4.156,4.156,6.01,1,,2.83,2.83,5.98,1,500,Moderat bekendt,697c8858-da94-bddb-e89d-437d2e8e4ae8,Troels Lund Poulsen,"Delvist enig, Meget enig"
2026-01-30 10:33:06,2026-01-30 10:35:08,IP Address,89.23.224.139,100,121,True,2026-01-30 10:35:08,R_2EmmlGXge6R4DTQ,,,,,55.6675,12.5429,anonymous,EN-GB,0.8999999761581421,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist Uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Hverken enig eller uenig,Delvist Uenig,Blå blok,,,Ikke særlig stærkt tilknyttet,,Moderat vigtig,Mand,,30,3.686,3.686,6.111,1,10000000,2.083,2.083,6.115,1,800,1.422,1.422,6.014,1,3000,3.616,3.616,6.005,1,100,3.384,3.384,6.007,1,3000,Meget bekendt,697c88dd-d471-a296-f448-ec458009f15e,Mette Frederiksen,"Delvist Uenig, Hverken enig eller uenig"
2026-01-30 10:32:46,2026-01-30 10:35:27,IP Address,188.228.54.6,100,160,True,2026-01-30 10:35:27,R_2kBLJWtVabBJYyk,,,,,56.3568,8.6142,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Meget enig,Meget enig,Meget enig,Meget enig,Meget enig,Meget enig,Meget enig,Meget enig,Meget enig,Blå blok,,,Stærkt tilknyttet,,Ekstremt vigtig,Kvinde,,50,3.108,3.108,6.01,1,10000,1.652,1.652,6.01,1,250000,2.576,3.135,6.009,2,"1,5 ",2.96,2.96,6.009,1,500000,1.98,1.98,6.009,1,5,Ekstremt bekendt,697c88c9-eea6-89d8-cd7b-abafdf62fa92,Troels Lund Poulsen,Meget enig
2026-01-30 10:32:52,2026-01-30 10:35:50,IP Address,93.165.244.223,100,177,True,2026-01-30 10:35:50,R_2ttlmDbEynfiujx,,,,,56.1567,10.2153,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Hverken enig eller uenig,Meget uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist Uenig,Rød blok,,Ikke særlig stærkt tilknyttet,,,Slet ikke vigtig,Mand,,72,2.476,2.476,6.026,1,ved,2.955,5.212,6.03,2,,0,0,6.125,0,,0,0,6.126,0,,4.362,4.362,6.012,1,,Lidt bekendt,697c88cf-a696-eb35-c3e1-f004dc16a722,Troels Lund Poulsen,"Hverken enig eller uenig, Delvist Uenig, Meget uenig"
2026-01-30 10:36:51,2026-01-30 10:39:45,IP Address,109.58.176.34,100,174,True,2026-01-30 10:39:46,R_2Y3vRAJkq2o0Tde,,,,,55.6795,12.5584,anonymous,EN-GB,0.8999999761581421,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Delvist Uenig,Ingen af delene,,,,Ingen af delene,Slet ikke vigtig,Kvinde,,72,0,0,6.015,0,,4.473,4.473,6.016,1,,0,0,6.016,0,,5.325,5.325,6.115,1,,3.791,3.791,6.017,1,,Moderat bekendt,697c89b7-4048-a88d-b06d-5c0365146549,Troels Lund Poulsen,"Meget uenig, Delvist Uenig"
2026-01-30 10:37:36,2026-01-30 10:40:00,IP Address,130.225.168.75,100,143,True,2026-01-30 10:40:00,R_80TBjIJHYObXbj3,,,,,55.7123,12.0564,anonymous,EN-GB,0.8999999761581421,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Rød blok,,Stærkt tilknyttet,,,Slet ikke vigtig,Kvinde,,20,2.369,2.369,6.008,1,5,0.74,0.74,5.593,1,100000,1.654,2.247,6.109,3,,0.723,0.723,4.743,1,200,2.504,2.504,6.01,1,,Lidt bekendt,697c89de-bccb-d1db-3baf-9458a6d9bb74,Mette Frederiksen,"Delvist enig, Hverken enig eller uenig"
2026-01-30 10:34:48,2026-01-30 10:43:26,IP Address,87.49.42.116,100,517,True,2026-01-30 10:43:26,R_2S1sD2ru6yi2vA2,,,,,55.7123,12.0564,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist enig,Delvist Uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Meget enig,Delvist enig,Delvist enig,Delvist enig,Ingen af delene,,,,Ingen af delene,Slet ikke vigtig,Kvinde,,23,5.948,5.948,6.005,1,,0.759,0.759,4.239,1,230,0,0,6.009,0,,4.394,4.394,6.011,1,2,0.043,4.674,6.009,2,,Moderat bekendt,697c8941-a8ed-bfa7-309c-6331d51808cf,Mette Frederiksen,"Hverken enig eller uenig, Delvist enig, Meget enig, Delvist Uenig"
2026-01-30 10:40:55,2026-01-30 10:44:26,IP Address,91.101.88.75,100,210,True,2026-01-30 10:44:26,R_80eJPPM1TAN5eE6,,,,,55.6452,12.469,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist enig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Rød blok,,Stærkt tilknyttet,,,Moderat vigtig,Mand,,18,0.849,0.849,6.016,1,,0.986,2.006,6.022,4,30000,0.677,1.378,5.201,3,45 mil,0.927,2.379,5.43,3,0,0.622,1.791,5.291,3,3847,Lidt bekendt,697c8ab1-4c3b-ac50-de2c-fc7417ebd3cb,Troels Lund Poulsen,"Hverken enig eller uenig, Delvist enig"
2026-01-30 10:42:48,2026-01-30 10:45:35,IP Address,185.15.127.131,100,167,True,2026-01-30 10:45:35,R_2qkP0jUqjcn2Upp,,,,,55.3982,10.4014,anonymous,EN-GB,0.6000000238418579,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist enig,Meget enig,Delvist enig,Meget enig,Delvist enig,Delvist enig,Delvist enig,Meget enig,Meget enig,Blå blok,,,Stærkt tilknyttet,,Meget vigtig,Mand,,54,5.105,5.105,6.157,1,,0,0,5.484,0,,0,0,3.801,0,,0,0,3.174,0,,0,0,4.551,0,,Moderat bekendt,697c8b22-b3d3-108a-dd79-e67c373c7764,Mette Frederiksen,"Delvist enig, Meget enig"
2026-01-30 11:08:38,2026-01-30 11:10:34,IP Address,212.27.16.103,100,116,True,2026-01-30 11:10:35,R_2jZqgHB4wM2mTk7,,,,,55.674,12.5696,anonymous,EN-GB,0.699999988079071,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist Uenig,Hverken enig eller uenig,Delvist Uenig,Hverken enig eller uenig,Hverken enig eller uenig,Blå blok,,,Ikke særlig stærkt tilknyttet,,Moderat vigtig,Mand,,56,2.396,2.396,6.015,1,100,1.739,1.739,5.716,1,150,2.2,2.55,6.017,2,80,1.846,2.815,6.111,2,900,1.875,1.875,5.999,1,2500,Moderat bekendt,697c912e-79bd-b893-7805-766ae5607518,Troels Lund Poulsen,"Hverken enig eller uenig, Delvist enig, Delvist Uenig"
2026-01-30 10:09:22,2026-01-30 11:11:29,IP Address,194.255.27.156,100,3727,True,2026-01-30 11:11:29,R_8LXTIkvWXh2mbza,,,,,55.7704,12.5038,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Ingen af delene,,,,Ingen af delene,Slet ikke vigtig,Kvinde,,31,0.134,1.004,6.112,2,Pas,1.221,1.221,4.225,1,Pas,0.702,0.702,4.087,1,Pas,0.795,0.795,2.988,1,Pas,0.712,0.712,3.464,1,Pas,Moderat bekendt,697c834c-9f04-04de-51d9-8cc37d03a284,Mette Frederiksen,Meget uenig
2026-01-30 11:12:20,2026-01-30 11:14:50,IP Address,62.107.16.64,100,149,True,2026-01-30 11:14:51,R_8r94yHcuIUsT6Yg,,,,,55.6482,12.6014,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Meget uenig,Meget uenig,Delvist Uenig,Delvist Uenig,Meget uenig,Hverken enig eller uenig,Delvist Uenig,Meget uenig,Meget uenig,Andet,,,,Tættest på blå blok,Ekstremt vigtig,Kvinde,,35,1.748,2.413,6.014,3,Jeg ved det virkelig ik,1.083,5.958,6.013,2,100,1.388,5.735,6.113,4,1000000,1.415,1.415,6.009,1,Pas ved ikke,1.561,1.561,6.012,1,Jeg ved ikke desværre,Ekstremt bekendt,697c920f-0aca-f0f9-357d-aaf5b2ed5f6c,Mette Frederiksen,"Delvist Uenig, Meget uenig, Hverken enig eller uenig"
2026-01-30 13:34:34,2026-01-30 13:36:05,IP Address,87.52.34.145,100,91,True,2026-01-30 13:36:06,R_2KZRjq9ki2tSgz9,,,,,55.2462,9.3051,anonymous,EN-GB,0.800000011920929,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Ingen af delene,,,,Tættest på blå blok,Slet ikke vigtig,Kvinde,,42,3.101,5.893,6.044,2,265,0.134,4.863,5.378,3,400,1.501,5.505,5.923,2,5000000,2.2,4.882,5.41,2,100,1.6,1.6,5.22,1,20000,Lidt bekendt,697cb362-a7ea-bc88-b923-a3dc6136c96d,Troels Lund Poulsen,"Delvist enig, Hverken enig eller uenig"
2026-01-30 13:34:45,2026-01-30 13:37:10,IP Address,80.167.156.164,100,144,True,2026-01-30 13:37:10,R_2E9xrXnsvH7wQc9,,,,,56.3265,9.2109,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist Uenig,Hverken enig eller uenig,Delvist Uenig,Hverken enig eller uenig,Rød blok,,Ikke særlig stærkt tilknyttet,,,Slet ikke vigtig,Kvinde,,67,1.301,4.4,6.134,3,,2.045,2.788,6.028,2,1,0,0,6.03,0,,0,0,6.035,0,,1.232,1.232,6.137,1,,Moderat bekendt,697cb36f-4877-e5ba-d033-bcd64648c8b4,Mette Frederiksen,"Hverken enig eller uenig, Delvist enig, Delvist Uenig"
2026-01-30 13:35:49,2026-01-30 13:37:43,IP Address,87.49.147.99,100,114,True,2026-01-30 13:37:43,R_2GwBrFUaUL8n1ss,,,,,55.7123,12.0564,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist enig,Delvist Uenig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Rød blok,,Stærkt tilknyttet,,,Meget vigtig,Kvinde,,66,2.897,5.688,6.112,2,1000,2.447,2.447,6.114,1,20000,2.556,2.556,6.109,1,1 mill,0.299,5.641,6.013,2,,3.576,3.576,6.01,1,4,Meget bekendt,697cb3af-af52-cbce-f251-8df3389df283,Troels Lund Poulsen,"Delvist enig, Delvist Uenig"
2026-01-30 13:36:20,2026-01-30 13:38:47,IP Address,80.62.117.136,100,146,True,2026-01-30 13:38:48,R_8jOLIq6jw784MMN,,,,,55.7123,12.0564,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Blå blok,,,Stærkt tilknyttet,,Moderat vigtig,Mand,,46,3.403,3.403,6.01,1,,2.15,2.998,6.109,2,5000,2.55,3.309,6.009,2,,1.75,1.75,6.009,1,,3.637,3.637,6.108,1,,Moderat bekendt,697cb3cf-48ec-3d24-67fd-f9b1991c5a84,Mette Frederiksen,"Hverken enig eller uenig, Delvist enig"
2026-01-30 13:35:56,2026-01-30 13:39:57,IP Address,37.96.28.149,100,240,True,2026-01-30 13:39:58,R_2aCRPrWzym0hQ3i,,,,,56.1535,10.1654,anonymous,EN-GB,0.800000011920929,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist Uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Delvist Uenig,Delvist Uenig,Hverken enig eller uenig,Meget uenig,Blå blok,,,Ikke særlig stærkt tilknyttet,,Meget vigtig,Mand,,33,0,0,6.043,0,,2.6,2.6,6.034,1,,0,0,6.036,0,,0,0,4.343,0,,1.693,1.693,6.079,1,,Moderat bekendt,697cb3b5-6f66-e4c1-75f1-c46a6704f625,Mette Frederiksen,"Meget uenig, Delvist Uenig, Hverken enig eller uenig"
2026-01-30 13:39:28,2026-01-30 13:41:11,IP Address,37.96.106.77,100,102,True,2026-01-30 13:41:11,R_2U4TryWaolEWpZ2,,,,,55.674,12.5696,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Ingen af delene,,,,Ingen af delene,Moderat vigtig,Kvinde,,25,0.921,1.469,6.011,3,,2.248,2.248,6.01,1,2,0,0,1.486,0,,0.841,2.487,4.612,3,2,1.17,1.17,6.109,1,1,Lidt bekendt,697cb48a-e6cf-0dd9-5fb2-0541831df420,Mette Frederiksen,Hverken enig eller uenig
2026-01-30 13:39:48,2026-01-30 13:41:27,IP Address,91.198.42.20,100,98,True,2026-01-30 13:41:27,R_2kN7vHMyPStZoGy,,,,,55.6152,12.415,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Rød blok,,Ikke særlig stærkt tilknyttet,,,Lidt vigtig,Kvinde,,47,2.736,2.736,6.011,1,"100000000000
",1.455,1.455,6.004,1,"100000000
",0,0,0.177,0,,3.551,3.551,6.119,1,0,3.277,3.277,6.104,1,5000,Lidt bekendt,697cb49f-3fff-a417-fae6-dc43a8a067f7,Troels Lund Poulsen,Delvist enig
2026-01-30 13:37:45,2026-01-30 13:42:30,IP Address,77.241.128.65,100,285,True,2026-01-30 13:42:30,R_2lPGNVA72qHx0iS,,,,,55.674,12.5696,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Hverken enig eller uenig,Delvist Uenig,Hverken enig eller uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Hverken enig eller uenig,Hverken enig eller uenig,Ingen af delene,,,,Ingen af delene,Slet ikke vigtig,Mand,,25,0,0,6.019,0,,0,0,6.014,0,,0,0,6.007,0,,0,0,6.108,0,,0,0,6.114,0,,Lidt bekendt,697cb422-8e4b-9058-a82b-b0df2279101f,Troels Lund Poulsen,"Hverken enig eller uenig, Delvist Uenig"
2026-01-30 13:40:07,2026-01-30 13:42:52,IP Address,86.52.229.71,100,164,True,2026-01-30 13:42:52,R_23PyJdMFresfjXP,,,,,55.6482,12.6014,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Hverken enig eller uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Delvist enig,Hverken enig eller uenig,Delvist Uenig,Meget uenig,Blå blok,,,Stærkt tilknyttet,,Moderat vigtig,Mand,,44,2.739,2.739,6.018,1,100000,1.556,2.105,6.111,3,27000,0.74,0.74,1.099,1,,4.485,4.485,6.014,1,,1.585,3.402,6.112,3,700,Meget bekendt,697cb4b0-a3d3-5767-59d4-21ed287eb6bf,Mette Frederiksen,"Delvist Uenig, Meget uenig, Hverken enig eller uenig, Delvist enig"
2026-01-30 13:42:08,2026-01-30 13:43:27,IP Address,2.108.128.172,100,79,True,2026-01-30 13:43:27,R_2qEigfxl7ZsRL8q,,,,,55.7115,12.4884,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist Uenig,Meget uenig,Delvist Uenig,Delvist enig,Meget uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Meget enig,Rød blok,,Stærkt tilknyttet,,,Moderat vigtig,Kvinde,,26,1.96,4.331,6.012,2,,1.767,1.767,6.119,1,20,0,0,2.901,0,,0,0,3.481,0,,0,0,2.356,0,,Lidt bekendt,697cb529-33a6-121c-2859-334caf3767fa,Mette Frederiksen,"Delvist Uenig, Hverken enig eller uenig, Delvist enig, Meget uenig, Meget enig"
2026-01-30 13:41:46,2026-01-30 13:44:27,IP Address,128.76.210.239,100,161,True,2026-01-30 13:44:28,R_8k54PIB7XZNkjTi,,,,,55.4692,8.4496,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist enig,Hverken enig eller uenig,Meget enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Meget enig,Rød blok,,Stærkt tilknyttet,,,Lidt vigtig,Mand,,69,3.611,3.611,6.012,1,,3.098,3.098,6.013,1,,0,0,6.012,0,,4.198,4.198,6.112,1,,0,0,6.013,0,,Meget bekendt,697cb514-624b-b74e-99e5-a244991140bf,Troels Lund Poulsen,"Meget enig, Delvist enig, Hverken enig eller uenig"
2026-01-30 13:44:07,2026-01-30 13:45:30,IP Address,62.198.134.85,100,83,True,2026-01-30 13:45:30,R_2PN2kcnPPIdmVvv,,,,,55.6922,12.5478,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Meget uenig,Delvist enig,Meget enig,Meget uenig,Meget uenig,Delvist enig,Delvist Uenig,Hverken enig eller uenig,Delvist Uenig,Rød blok,,Stærkt tilknyttet,,,Lidt vigtig,Kvinde,,24,1.559,4.41,6.014,4,,0.767,0.767,6.012,1,23,1.752,3.053,6.008,2,12,2.345,2.345,6.113,1,,2.42,2.42,6.013,1,3000,Ekstremt bekendt,697cb5a1-3721-3c94-9bf8-615b4e87b94d,Mette Frederiksen,"Delvist Uenig, Meget uenig, Delvist enig, Meget enig, Hverken enig eller uenig"
2026-01-30 13:44:53,2026-01-30 13:47:42,IP Address,37.96.17.97,100,168,True,2026-01-30 13:47:42,R_2QAsjNKJ0uOVWvS,,,,,56.1709,10.146,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist Uenig,Ingen af delene,,,,Tættest på rød blok,Slet ikke vigtig,Kvinde,,25,1.583,1.583,6.01,1,,2.832,2.832,6.109,1,45,1.819,1.819,6.109,1,1 mil,2.495,2.495,6.107,1,Pas,1.714,1.714,6.008,1,5,"Slet ikke bekendt (jeg ved ikke, hvem personen er)",697cb5ce-4010-ba09-8d95-f5f48dd2985b,Troels Lund Poulsen,"Delvist enig, Hverken enig eller uenig, Delvist Uenig"
2026-01-30 13:46:20,2026-01-30 13:47:44,IP Address,77.66.97.59,100,84,True,2026-01-30 13:47:45,R_2ezh7gdWgpqtocO,,,,,55.7056,12.5683,anonymous,EN-GB,0.800000011920929,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Rød blok,,Ikke særlig stærkt tilknyttet,,,Lidt vigtig,Kvinde,,20,0.892,5.68,6.117,3,1000,0.93,5.386,6.073,3,300 måske,0.601,4.525,5.665,2,1000000,1.434,5.765,6.015,3,Jeg ved ikke hvad det er,1.941,4.953,6.016,2,Det vdd jeg ikke,Moderat bekendt,697cb625-c901-ac5d-19ab-0d594d52451d,Troels Lund Poulsen,"Hverken enig eller uenig, Delvist enig"
2026-01-30 13:45:22,2026-01-30 13:47:58,IP Address,62.107.132.208,100,155,True,2026-01-30 13:47:58,R_2ERSFP3ckJbMc3c,,,,,54.9204,9.7658,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Hverken enig eller uenig,Delvist Uenig,Delvist Uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Ingen af delene,,,,Ingen af delene,Moderat vigtig,Kvinde,,35,2.115,4.227,6.008,3,Don,1.86,1.86,6.011,1,10000,3.206,3.206,6.01,1,,3.063,3.063,6.008,1,,3.899,3.899,6.01,1,,Moderat bekendt,697cb5ec-508b-f45b-100f-9e459ee4824a,Mette Frederiksen,"Delvist Uenig, Meget uenig, Hverken enig eller uenig"
2026-01-30 13:44:19,2026-01-30 13:48:17,IP Address,87.72.32.55,100,238,True,2026-01-30 13:48:18,R_88CGJiFzf8maqTh,,,,,55.7327,12.3656,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Meget enig,Meget enig,Blå blok,,,Ikke særlig stærkt tilknyttet,,Slet ikke vigtig,Mand,,51,4.726,4.726,6.01,1,,0.848,3.964,6.008,3,F,2.867,3.818,6.108,2,24,1.594,5.413,5.774,3,Gjj,1.706,3.907,5.602,4,Gh,Moderat bekendt,697cb5ae-eb57-08ad-8f4e-3745341b4557,Mette Frederiksen,"Delvist enig, Hverken enig eller uenig, Meget enig"
2026-01-30 13:47:52,2026-01-30 13:49:44,IP Address,90.185.31.185,100,111,True,2026-01-30 13:49:44,R_2w0bXsbKtizTOdH,,,,,55.4882,8.5037,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Ingen af delene,,,,Ingen af delene,Lidt vigtig,Kvinde,,19,1.871,1.903,6.016,2,,0.464,2.15,5.739,3,6,2.551,2.551,4.946,1,ved ikke,0,0,2.983,0,,0,0,4.797,0,,Moderat bekendt,697cb683-75c1-cec9-598a-d8d7e8981a4e,Mette Frederiksen,Hverken enig eller uenig
2026-01-30 13:49:33,2026-01-30 13:52:14,IP Address,85.218.219.85,100,161,True,2026-01-30 13:52:15,R_2CIWs0x2piZahyr,,,,,55.4692,8.4496,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist Uenig,Delvist Uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Blå blok,,,Stærkt tilknyttet,,Lidt vigtig,Mand,,68,5.734,5.734,6.109,1,,4.621,4.621,6.102,1,500,4.354,4.354,6.003,1,1,1.945,1.945,5.364,1,120,2.341,2.341,6.009,1,6520,Moderat bekendt,697cb6e7-53fb-aff4-62a2-6c4b66e425e1,Troels Lund Poulsen,"Hverken enig eller uenig, Delvist Uenig, Delvist enig"
2026-01-30 13:49:53,2026-01-30 13:52:52,IP Address,80.71.143.7,100,178,True,2026-01-30 13:52:52,R_8YRKdBrQWeMdO9U,,,,,55.6922,12.5478,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Meget enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Meget enig,Hverken enig eller uenig,Delvist Uenig,Hverken enig eller uenig,Rød blok,,Stærkt tilknyttet,,,Meget vigtig,Kvinde,,65,3.293,3.293,6.008,1,,1.806,1.806,6.007,1,1000,1.175,1.175,6.008,1,4 mill,0.27,1.487,6.008,2,,1.484,1.484,6.005,1,40,Ekstremt bekendt,697cb6fc-9a29-d723-86ef-118b1b3f75bf,Mette Frederiksen,"Hverken enig eller uenig, Delvist enig, Delvist Uenig, Meget enig"
