Duration (in seconds),"Hoja de Información



Título del estudio: Opiniones sobre políticos Investigadores: Santiago Ventura (Universidad de Warwick), Tim Mullett (Universidad de Warwick), y Nick Chater (Universidad de Warwick).



Financiamiento: Esta investigación es financiada por la Warwick Business School (Universidad de Warwick).



Objetivos y duración del proyecto: Este estudio tiene como objetivo entender mejor las opiniones de las personas sobre políticos de Chile. La duración estimada del estudio es de 2 a 3 minutos.



Metodología y participación: En este estudio se te preguntará tu opinión sobre un político chileno y se te pedirá completar un breve cuestionario demográfico (e.g. edad, género) y finalmente, por quién crees que votarás en las elecciones presidenciales.



Riesgos y beneficios: Participar en este estudio no implica riesgos mayores que los que se encuentran en la vida diaria. No podemos garantizar que recibirás beneficios por participar.



Participación voluntaria: Tu participación es completamente voluntaria. Puedes retirarte en cualquier momento, simplemente cerrando el navegador. Sin embargo, solo podremos pagarte si completas la encuesta.



Privacidad: Para proteger tu privacidad, no se recogerá información directamente identificable (e.g. nombre, correo electrónico o dirección). Los datos serán anonimizados lo antes posible tras la recolección y no será posible retirarlos después de este punto.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es capaz.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es un/a experto/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] cumple muy bien con su deber.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - Si los ciudadanos necesitan ayuda, [Field-Politician] hará lo posible para ayudarles.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] actúa en interés de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] está genuinamente interesado/a en el bienestar de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] tiene un acercamiento sincero con los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es sincero/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es honesto/a.","¿Durante esta encuesta, sobre qué político estabas pensando?","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Selected Choice","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Otro - Text",¿Dirías que eres fuertemente de Derecha o no tan fuertemente de Derecha?,¿Dirías que eres fuertemente de Izquierda o no tan fuertemente de Izquierda?,"Si tuvieras que elegir, ¿te sentirías más cercano con la Izquierda o la Derecha?",¿Qué tan importante es tu identificación política para tí?,¿Con qué género te identificas? - Selected Choice,¿Qué edad tienes?,"Las elecciones presidenciales se llevarán a cabo el próximo domingo 16 de Noviembre, ¿por quién planeas votar?",rid,Politician,MatrixResponses,Consent,Attention
148,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,45,Evelyn Matthei Fornet,6915c658-ec2b-ab1c-e398-a8a21bd41b3a,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
126,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Otro,Centro Derecha,,,Más cercano con la Derecha,Muy importante,Masculino,50,Evelyn Matthei Fornet,6915c658-ce16-0cba-46e6-527ab3bb5138,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
64,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Moderadamente importante,Masculino,38,Jeannette Jara Román,6915c658-f9d2-5593-5592-404664fa27af,Jeannette Jara,Totalmente de acuerdo,1,1
118,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Moderadamente importante,Masculino,34,Jeannette Jara Román,6915c65b-5dea-09c0-6919-58215c0094fb,Jeannette Jara,Totalmente de acuerdo,1,1
95,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,32,José Antonio Kast Rist,6915c659-5d62-4be5-513d-241a99cecf35,José Antonio Kast,Ni de acuerdo ni en desacuerdo,1,1
84,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Femenino,35,José Antonio Kast Rist,6915c660-e7bc-0f64-9b09-5da375116e3c,Jeannette Jara,Totalmente en desacuerdo,1,1
264,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Masculino,56,Johannes Kaiser Barents-von Hohenhagen,6915c65c-d9a1-5866-0d60-cf3027bc6737,José Antonio Kast,Algo de acuerdo,1,1
126,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Femenino,55,Johannes Kaiser Barents-von Hohenhagen,6915c664-e562-4610-dca1-0b73f938d1aa,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
151,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,48,Johannes Kaiser Barents-von Hohenhagen,6915c664-0164-cfec-06fb-6f009f05ffda,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo",1,1
168,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Moderadamente importante,Femenino,26,Evelyn Matthei Fornet,6915c664-a0de-cb5f-e84f-fe3dbb6f7334,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Algo de acuerdo",1,1
102,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Femenino,33,Jeannette Jara Román,6915c666-b294-368a-7b8b-2da1467ecbbe,Jeannette Jara,Algo de acuerdo,1,1
174,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Femenino,48,José Antonio Kast Rist,6915c666-169f-1b9a-2bdc-22a097e47ecd,José Antonio Kast,Totalmente de acuerdo,1,1
198,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Muy importante,Femenino,37,Jeannette Jara Román,6915c668-bd2a-35af-4935-83f61b750e6d,Jeannette Jara,"Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
96,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Femenino,25,Franco Parisi Fernández,6915c668-5ca1-2d50-040e-f0f987bcc912,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo",1,1
55,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Femenino,33,Jeannette Jara Román,6915c66b-9b78-4b2c-e2ef-838678904df3,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
93,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,45,Franco Parisi Fernández,6915c658-ac78-84af-f5f7-be1c91391752,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
164,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Masculino,34,Jeannette Jara Román,6915c670-8026-34b9-0271-7b5f56df2e74,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Totalmente en desacuerdo",1,1
91,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Nada importante,Masculino,53,Jeannette Jara Román,6915c66f-a319-c59a-c0a5-44c2c9c20b6f,José Antonio Kast,Totalmente en desacuerdo,1,1
118,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,45,Jeannette Jara Román,6915c66f-1447-3fb9-9cf0-4d8e4b3a7fde,José Antonio Kast,"Totalmente en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
217,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,50,Harlod Mayne-Nicholls Sécul,6915c66e-974d-cbb8-4082-c14f53edd1a9,Jeannette Jara,Totalmente en desacuerdo,1,1
128,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Masculino,50,José Antonio Kast Rist,6915c672-6dbc-404c-1093-b179ede89170,José Antonio Kast,Totalmente de acuerdo,1,1
72,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Poco importante,Femenino,44,Jeannette Jara Román,6915c673-6ab7-2b0c-7aaf-299ef3a723bf,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
123,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Masculino,33,Jeannette Jara Román,6915c676-7881-da38-8247-b5237cce1cc6,Jeannette Jara,Totalmente de acuerdo,1,1
139,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,54,Evelyn Matthei Fornet,6915c67a-91a4-f27b-df31-7c0aa83119b4,Jeannette Jara,Totalmente en desacuerdo,1,1
178,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Nada importante,Femenino,34,Evelyn Matthei Fornet,6915c67d-b775-a045-86d9-39fcbb7c9857,Jeannette Jara,"Totalmente en desacuerdo, Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
104,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Femenino,37,Jeannette Jara Román,6915c67e-08b6-b96f-c592-73a886e86652,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
643,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Femenino,33,Harlod Mayne-Nicholls Sécul,6915c681-98b5-13b3-4950-6e221b8eac38,José Antonio Kast,Ni de acuerdo ni en desacuerdo,1,1
109,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,26,Jeannette Jara Román,6915c680-0484-c4b8-16cb-9aa70611c389,José Antonio Kast,Totalmente en desacuerdo,1,1
142,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,47,Jeannette Jara Román,6915c68b-e8f5-124d-6b20-8e628fe1511f,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
131,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,32,José Antonio Kast Rist,6915c694-adcc-68de-54a6-b969598f2841,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
169,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,47,Evelyn Matthei Fornet,6915c696-58b9-efae-9b30-0291c2423a56,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
362,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Otro,Centro,,,Ninguno,Muy importante,Masculino,45,Franco Parisi Fernández,6915c699-b017-6ffa-bb49-af0baefe00fc,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
135,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Femenino,34,Evelyn Matthei Fornet,6915c69f-dd4a-4aca-3615-5ead977d8e4b,José Antonio Kast,"Totalmente en desacuerdo, Totalmente de acuerdo",1,1
161,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Femenino,53,Jeannette Jara Román,6915c6a5-08a5-38b2-4218-ac9c581b0982,Jeannette Jara,Totalmente de acuerdo,1,1
118,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Nada importante,Femenino,50,Evelyn Matthei Fornet,6915c6a8-65a6-24f2-f7f1-88644faff495,José Antonio Kast,Ni de acuerdo ni en desacuerdo,1,1
164,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,54,Evelyn Matthei Fornet,6915c6aa-3edf-30b8-80ed-38920efe2197,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
222,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,49,José Antonio Kast Rist,6915c6ac-4516-21ca-58cc-5ee2542e1262,José Antonio Kast,Totalmente de acuerdo,1,1
131,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Femenino,52,Harlod Mayne-Nicholls Sécul,6915c6b1-180e-2e6d-3301-b905cd8cdc90,José Antonio Kast,Totalmente en desacuerdo,1,1
91,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,20,José Antonio Kast Rist,6915c6b4-a0e5-fb76-b1cd-c4ea5992c410,José Antonio Kast,Totalmente de acuerdo,1,1
186,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Poco importante,Femenino,18,Jeannette Jara Román,6915c6bb-b9f3-31c6-a66c-af066bcaf773,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
93,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Nada importante,Femenino,50,Evelyn Matthei Fornet,6915c6bd-3105-4c77-e07d-c2cca1c7c26d,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo",1,1
124,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Muy importante,Femenino,38,José Antonio Kast Rist,6915c6bf-69bb-0697-15af-5d248fa8930a,José Antonio Kast,Algo de acuerdo,1,1
102,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Femenino,23,José Antonio Kast Rist,6915c6c6-9830-13e4-16df-5cc03175d393,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Totalmente en desacuerdo",1,1
381,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,56,Jeannette Jara Román,6915c6c6-9f0c-c841-5298-01e34836e26a,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo",1,1
102,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,30,José Antonio Kast Rist,6915c6cb-e742-f4fa-2ca2-ef1dc2fdde71,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo",1,1
94,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Poco importante,Femenino,38,Evelyn Matthei Fornet,6915c6d0-e4bd-c03b-c245-dba1884a227f,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
101,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Otro,Centro ,,,Más cercano con la Izquierda,Moderadamente importante,Femenino,43,Jeannette Jara Román,6915c6d0-80ea-8295-9933-568189a7b650,José Antonio Kast,Totalmente en desacuerdo,1,1
